༄༅ རྒྱ་ གར་ སྐད་ དུ 328
༄༅ དཀོན་ མཆོག་ གསུམ་ ལ་ 83
འདུལ་ བ་ དང་ མཐུན་ པར་ 42
འདུལ་ བ་ ལ་ བསླབ་ པའི་ 316
འདུལ་ བ་ ལ་ རབ་ ཏུ་ 311
འདུལ་ བ་ ལ་ ཉན་ ཐོས་ 247
འདུལ་ བ་ རྣམས་ ལ །_ 45
འདུལ་ བ་ རྣམ་ པར་ འབྱེད་ 120
འདུལ་ བ་ འཛིན་ པ་ དང་ 69
འདུལ་ བ་ མ་ ཡིན་ པ་ 57
འདུལ་ བ་ ཇི་ ལྟ་ བ་ 56
འདུལ་ བ་ ཕྲན་ ཚེགས་ ཀྱི་ 62
འདུལ་ བ་ གཞི །_ བམ་ 108
འདུལ་ བ་ གཞུང་ དམ་ པ 53
འདུལ་ བའི་ ཁ་ ལོ་ སྒྱུར་ 329
འདུལ་ བའི་ སེམས་ ཅན་ རྣམས་ 129
བ་ བཞུགས་ སོ །_། དེའི་ 215
བ་ བཞུགས་ ཏེ །_ ཡང་ 49
བ་ བཞུགས་ ཤིང་ འཚོ་ སྐྱོང་ 51
བ་ བཞུགས་ ཏེ་ འཚོ་ ཞིང་ 472
བ་ རྒྱ་ ཆེན་ པོས་ ཁྱབ་ 48
བ་ པའི་ བདག་ པོ་ ཕྱག་ 86
བ་ པའི་ བདག་ པོ་ དེ་ 101
བ་ པའི་ བདག་ པོ་ གཞན་ 47
བ་ པའི་ བདག་ པོ་ ལག་ 305
བ་ པའི་ བདག་ པོས་ སྨྲས་ 53
བ་ པའི་ སེམས་ ཅན་ དེ་ 47
བ་ པོ་ གང་ ཡིན་ པ་ 40
བ་ པོ་ རྣམ་ པར་ དག་ 665
བ་ པོ་ ཡོངས་ སུ་ དག་ 622
བ་ དང་ །_། དེ་ བཞིན་ 130
བ་ དང་ །_། འོན་ པ་ 41
བ་ དང་ །_། རྡོ་ རྗེ་ 42
བ་ དང་ །_ འདུལ་ བ་ 46
བ་ དང་ །_ ཐམས་ ཅད་ 208
བ་ དང་ །_ ཕྱག་ བྱ་ 127
བ་ དང་ །_ ཕྱག་ བགྱི་ 59
བ་ དང་ །_ འཇིག་ པ་ 97
བ་ དང་ །_ འཇིག་ རྟེན་ 394
བ་ དང་ །_ དམ་ པའི་ 110
བ་ དང་ །_ ཆོས་ ཐམས་ 152
བ་ དང་ །_ ཆོས་ ལ་ 79
བ་ དང་ །_ ཆོས་ ཀྱི་ 278
བ་ དང་ །_ ཆོས་ སྟོན་ 113
བ་ དང་ །_ ཆོས་ མཉན་ 68
བ་ དང་ །_ མཆོག་ ཏུ་ 152
བ་ དང་ །_ དབང་ པོ་ 103
བ་ དང་ །_ སྡུག་ བསྔལ་ 558
བ་ དང་ །_ འགྲོ་ བ་ 143
བ་ དང་ །_ བསླབ་ པའི་ 92
བ་ དང་ །_ འཕགས་ པའི་ 71
བ་ དང་ །_ འཕགས་ པ་ 50
བ་ དང་ །_ སངས་ རྒྱས་ 684
བ་ དང་ །_ རྒྱས་ པ་ 45
བ་ དང་ །_ གང་ ལ་ 70
བ་ དང་ །_ གང་ དག་ 98
བ་ དང་ །_ གང་ གིས་ 73
བ་ དང་ །_ གང་ ཟག་ 121
བ་ དང་ །_ གནས་ པ་ 71
བ་ དང་ །_ སྙིང་ རྗེ་ 73
བ་ དང་ །_ འདི་ ལྟ་ 67
བ་ དང་ །_ རྒྱལ་ པོ་ 93
བ་ དང་ །_ རྒྱལ་ པོའི་ 46
བ་ དང་ །_ ཀུན་ དུ་ 78
བ་ དང་ །_ ཀུན་ ཏུ་ 85
བ་ དང་ །_ ཀུན་ ཆུབ་ 56
བ་ དང་ །_ ཀུན་ ནས་ 91
བ་ དང་ །_ ཀུན་ སྣང་ 48
བ་ དང་ །_ དགེ་ བ་ 89
བ་ དང་ །_ དགེ་ བའི་ 262
བ་ དང་ །_ དགེ་ རྒྱས་ 53
བ་ དང་ །_ དགེ་ སློང་ 242
བ་ དང་ །_ དགེ་ འདུན་ 129
བ་ དང་ །_ ཚུལ་ ཁྲིམས་ 137
བ་ དང་ །_ ཚུལ་ བཞིན་ 52
བ་ དང་ །_ རྣམ་ པ་ 63
བ་ དང་ །_ རྣམ་ པར་ 649
བ་ དང་ །_ འཁོར་ བ་ 43
